,Title,Link,Genre,Author,Description
10,Món Ăn Giúp Trẻ Thông Minh Học Giỏi,https://khosachonline.com/sach/mon-an-giup-tre-thong-minh-hoc-gioi,Ẩm thực - Nấu ăn,Nhật Nguyên,"Cuốn sách ""Món ăn giúp trẻ thông minh học giỏi"" xin giới thiệu các loại thực phẩm thông dụng hàng ngày, các món ăn bổ dưỡng giúp trẻ nhỏ thêm linh lợi, hoạt bát, giúp sĩ tử thêm vững tin trước các kỳ thi đầy gian nan."
11,Dinh Dưỡng Cho Trẻ Béo Phì,https://khosachonline.com/sach/dinh-duong-cho-tre-beo-phi,Ẩm thực - Nấu ăn,Việt Điền,"Món gà - món vịt là những thức ăn thân thuộc với người Việt Nam từ bao đời nay. Trong bữa cơm gia đình, trong các buổi tiệc sang trọng hay bữa cúng giỗ, hiếm khi nào lại thiếu món gà - món vịt vừa ngon vừa giàu dinh dưỡng này.
Gần 90 món ăn được giới thiệu trong tập sách này là những món chọn lọc, hợp với khẩu vị của người việt, sẽ giúp các bạn nắm được những quy tắc chung nhất để chế biến các món ăn này.
Chúc các bạn thành công."
12,81 Món Xôi Ngon,https://khosachonline.com/sach/81-mon-xoi-ngon,Ẩm thực - Nấu ăn,Trâm Anh - Quế Anh,"Một vài kết hợp giữa gạo nếp và một số thực phẩm khác sẽ làm nên những món xôi đơn giản trở thành một món ăn ngon miệng, đồng thời tăng cường dinh dưỡng và là một vị thuốc tự nhiên giúp tăng cường sức khoẻ như: xôi cốm, xôi gấc, xôi gà, xôi xoài, xôi xéo, cơm gà - xôi gà, cơm nếp bí đỏ, cơm nếp chay...

81 món xôi ngon gồm:
Phần I: Các món xôi
1. Các món xôi
2. Hướng dẫn nấu các món xôi
Phần II: Cơm nếp
1. Bàn luận về cơm nếp
2. Hướng dẫn một số món từ cơm nếp"
13,Đề Thi Trắc Nghiệm Môn Toán 10-11-12 Luyện Thi Đại Học,https://khosachonline.com/sach/de-thi-trac-nghiem-mon-toan-10-11-12-luyen-thi-dai-hoc,Tài Liệu Học Tập,Lê Mậu Thảo,"Cuốn sách được biên soạn với nội dung gồm có 25 đề thi với đáp án tương ứng với 25 đề giúp các em có thêm tài liệu tham khảo để tự ôn tập, củng cố và tự nâng cao kiến thức của mình. Hi vọng cuốn sách này sẽ là tài liệu hữu ích đối với quý thầy cô và các em học sinh trong quá trình học tập và giảng dạy."
14,Học Tốt Sinh Học 10,https://khosachonline.com/sach/hoc-tot-sinh-hoc-10,Tài Liệu Học Tập,Trần Văn Minh - La Thị Thu Cúc," Cuốn sách ""Học tốt sinh học 10"" của tác giả Trần Văn Minh - La Thị Thu Cúc biên soạn nhằm giúp các em ôn luyện kiến thức trọng tâm của chương trình sinh học lớp 10, đồng thời vận dụng lý thuyết để trả lời các câu hỏi trắc nghiệm cũng như làm các phần bài tập tự luận."
15,650 Câu Trắc Nghiệm Sinh Học 10,https://khosachonline.com/sach/650-cau-trac-nghiem-sinh-hoc-10,Tài Liệu Học Tập,Nhiều tác giả,"Cuốn ebook ""650 câu trắc nghiệm sinh học 10 theo chủ đề"" (204 trang) giúp các em học sinh ôn luyện, củng cố kiến thức của mình, đồng thời rèn luyện nhanh phương pháp giải nhanh các bài tập trắc nghiệm sinh học."
16,27 Đề Trắc Nghiệm Tiếng Anh 12 - Có Đáp Án,https://khosachonline.com/sach/27-de-trac-nghiem-tieng-anh-12-co-dap-an,Tài Liệu Học Tập,Lưu Hoằng Trí,"Tập sách “27 Đề Trắc Nghiệm Tiếng Anh 12 Có Đáp Án” do thầy Lưu Hoằng Trí biên soạn, gồm  27 đề thi Tiếng Anh theo cấu trúc đề thi mới của Bộ Giáo Dục. Giúp các bạn luyện tập nâng cao kiến thức, chuyển bị tốt nhất cho kì thi thpt quốc gia."
17,"Kỹ Thuật Mới Về Chăn Nuôi Lợn Ở Nông Hộ, Trang Trại Và Một Số Bệnh Thường Gặp",https://khosachonline.com/sach/ky-thuat-moi-ve-chan-nuoi-lon-o-nong-ho-trang-trai-va-mot-so-benh-thuong-gap,Nông - Lâm - Ngư,Lê Hồng Mận,"Kỹ thuật mới chăn nuôi lợn ở nông hộ, trang trại và phòng chữa bệnh thường gặp"" giới thiệu với các nông hộ, trang trại có nuôi lợn nái tham khảo. Nội dung chủ yếu là chọn giống, dinh dưỡng thức ăn, các biện pháp kỹ thuật chăn nuôi thú y và tổ chức quản lý chăn nuôi lợn nái, lợn con theo mẹ, lợn đực giống, trong đó có nhiều tiến bộ kỹ thuật mới đạt được trong nghiên cứu, sản xuất thử nghiệm... được chuyển giao ứng dụng vào sản xuất chăn nuôi."
18,Định Mức Dự Toán Xây Dựng Công Trình - Phần Lắp Đặt,https://khosachonline.com/sach/dinh-muc-du-toan-xay-dung-cong-trinh-phan-lap-dat,Kiến Trúc - Xây Dựng,Bộ Xây Dựng,"Ebook Định mức dự toán xây dựng công trình (Phần lắp đặt) trình bày nội dung định mức xây dựng về lắp đặt hệ thống công trình ống và phụ tùng ống, bảo ôn đường ống, phụ tùng và thiết bị khai thác nước ngầm. Mời các bạn cùng tham khảo để nắm nội dung cụ thể."
19,Một Số Xu Hướng Kiến Trúc Đương Đại Nước Ngoài,https://khosachonline.com/sach/mot-so-xu-huong-kien-truc-duong-dai-nuoc-ngoai,Kiến Trúc - Xây Dựng,Lê Thanh Sơn,"Cuốn sách này giới thiệu một số xu hướng kiến trúc đương đại nước ngoài nhằm giúp các kiến trúc sư nắm được những gì đang diễn ra, phát triển trong thế giới kiến trúc hiện nay, cũng như tìm kiếm những giải pháp khác nhau cho các vấn đề phát sinh trong thực tiễn kiến trúc đương đại. Mời các bạn tìm đọc."
20,Lịch Sử Việt Nam Bằng Tranh (Tập 3) - Thời Nhà Ngô - Đinh - Tiền Lê,https://khosachonline.com/sach/lich-su-viet-nam-bang-tranh-tap-3-thoi-nha-ngo-dinh-tien-le,Lịch Sử - Chính Trị,Trần Bạch Đằng,"Lịch Sử Việt Nam Bằng Tranh là nỗ lực đáng trân trọng của tác giả nhằm phản ánh đất nước và con người Việt Nam theo đúng tiến trình lịch sử với không gian, văn hóa, y phục, tính cách phù hợp với từng thời kỳ, triều đại cụ thể. Bộ sách gồm nhiều tập, mỗi tập viết về thời kỳ hay một nhân vật, một vấn đề tiêu biểu của thời kỳ đó.
Tập 3 giới thiệu về lịch sử nước ta qua các triều đại Ngô - Đinh - Tiền Lê cùng những biến động và dấu ấn chính trị nổi bật."
21,Cố Đô Hoa Lư Lịch Sử Và Danh Thắng,https://khosachonline.com/sach/co-do-hoa-lu-lich-su-va-danh-thang,Lịch Sử - Chính Trị,Lã Đăng Bật,"Nội dung: 1: Lời giới thiệu. 2: Cố Đô Hoa Lư. 3: Đền thờ vua Đinh Tiên Hoàng. 4: Đền thờ vua Lê Đại Hành. 5:Mã Yên Sơn. 6: Động Am Tiên. 7: Xuyên Thủy Động. 8: Chùa Nhất Trụ. 9: Đền thờ công chúa Phất Kim. 10:Động Hoa Sơn. 11: Động Thiên Tôn
Cố Đô Hoa Lư Lịch Sử Và Danh Thắng
NXB Thanh Niên 1998
Lã Đăng Bật
124 Trang"
22,Chùa Yên Tử Lịch Sử Truyền Thuyết Di Tích Và Danh Thắng,https://khosachonline.com/sach/chua-yen-tu-lich-su-truyen-thuyet-di-tich-va-danh-thang,Lịch Sử - Chính Trị,Trần Trương,"Chùa Yên Tử"" - Một lịch sử, truyền thuyết, di tích và danh lam thắng cảnh trải dài 20 cây số, dọc lộ trình của vua Trần Nhân Tông về Yên Sơn tu hành rồi hiển Phật, từ chùa Bí Thượng đến chùa Đồng, trên đỉnh Yên Sơn cao nhất vùng Đông Bắc. Ở Yên Sơn, di sản cha ông còn để lại hàng chục ngôi chùa, hàng trăm am, tháp và hàng ngàn di vật cổ quý giá, giữa một vùng đồi núi trập trùng, có thác đổ, suối reo...Với lối viết giản dị, dễ hiểu, cuốn sách kể về Danh Sơn Yên Tử, giúp đọc giả thường thức thêm về danh lam thắng cảnh Yên Sơn"
23,Thông Điệp Shangri - La,https://khosachonline.com/sach/thong-diep-shangri-la,Lịch Sử - Chính Trị,Alpha Book biên soạn,"Cuốn sách giới thiệu toàn văn bài phát biểu của Thủ tướng Nguyễn Tấn Dũng tại Đối thoại Shangri-La, toàn văn những câu trả lời có sức thuyết phục cao của Thủ tướng và tuyển chọn những nhận xét, đánh giá, ý kiến của các chính khách, nhà nghiên cứu và dư luận quốc tế (đã được đăng tải trong nước và quốc tế) với hy vọng có thể đem lại cho độc giả cái nhìn toàn cảnh về thông điệp Shangri-La của Thủ tướng và quan điểm của đối ngoại Việt Nam."
24,Mao Trạch Đông - Ngàn năm công tội,https://khosachonline.com/sach/mao-trach-dong-ngan-nam-cong-toi,Lịch Sử - Chính Trị,Tân Tử Lăng,"Cuốn “Mao Trạch Đông ngàn năm công tội"" do nhà xuất bản Thư Tác Phường ấn hành, ra mắt tại Hông Công tháng 7-2007 và tới bạn tháng 6-2008, là một trong những cuốn sách đang được dư luận Trung Quốc hết sức quan tâm, với những luồng ý kiến nhận xét trái ngược nhau, từ hoan nghênh đến bất đồng, thậm chí phản đối gay gắt. Tác giả Tân Tử Lăng nguyên là cán bộ nghiên cứu và giảng dạy tại Học viện quân sự cấp cao, Đại học Quân chính, Đại học Quốc phòng Trung Quốc. Ông nhập ngũ năm 1950, từng tham gia các phong trào chính trị do Mao phát động, về hưu năm 1994 với quân hàm Đại tá."
25,Sử Trung Quốc,https://khosachonline.com/sach/su-trung-quoc,Lịch Sử - Chính Trị,Nguyễn Hiến Lê,"lịch sử Trung Hoa là lịch sử của một nền văn minh vô cùng độc đặc (infiniment originale: Guillermaz), tuy ra đời sau vài nền văn minh khác: Ai Cập, Lưỡng Hà... nhưng tồn tại lâu nhất. Khoảng 3.000 năm trước, nó xuất hiện từ miền trung du sông Hoàng Hà."
26,Thời của thánh thần,https://khosachonline.com/sach/thoi-cua-thanh-than,Lịch Sử - Chính Trị,Hoàng Minh Tường,"Cuốn sách đề cập đến vấn đề trong xã hội Việt Nam trong thời kỳ từ Cách mạng Tháng Tám 1945 đến thời kỳ hội nhập hiện nay, như cải cách ruộng đất, nhân văn giai phẩm, thống nhất đất nước, di tản, hòa hợp dân tộc... thông qua số phận của một gia đình.Ngay sau khi phát hành trong tháng 8 năm 2008, sách đã bị thu hồi["
27,Thần Người và Đất Việt,https://khosachonline.com/sach/than-nguoi-va-dat-viet,Lịch Sử - Chính Trị,Tạ Chí Đại Tường,"Chuyên khảo Thần, người và đất Việt trình bày sự hình thành và biến chuyển của các hệ thống thần linh của người Việt từ cổ đại tới cận đại, từ hệ thống các nhiên thần (các thần cây, đá; các thần sông nước) đến các nhân thần sơ khai, tiếp đó là các hệ thần mới, nảy sinh do tiến trình hình thành thể chế quân chủ tập quyền, đồng thời do sự giao lưu với tín ngưỡng và tôn giáo của các dân tộc phương Bắc và phương Nam trong tiến trình lịch sử của cộng đồng Việt."
28,Những khám phá về hoàng đế Quang Trung,https://khosachonline.com/sach/nhung-kham-pha-ve-hoang-de-quang-trung,Lịch Sử - Chính Trị,Đỗ Bang,"Nguyễn Huệ (1753 – 1792), còn được biết đến là Quang Trung Hoàng đế, vua Quang Trung hay Bắc Bình Vương, là vị hoàng đế thứ hai của nhà Tây Sơn (ở ngôi từ 1788 tới 1792) sau Thái Đức Hoàng đế Nguyễn Nhạc. Ông là một trong những lãnh đạo chính trị tài giỏi với nhiều cải cách xây dựng đất nước, quân sự xuất sắc trong lịch sử Việt Nam với những trận đánh trong nội chiến và chống ngoại xâm chưa thất bại lần nào. Do có nhiều công lao, Nguyễn Huệ cũng được xem là người anh hùng áo vải của dân tộc Việt Nam."
29,Phong Thuỷ Sân Vườn,https://khosachonline.com/sach/phong-thuy-san-vuon,Tử Vi - Phong Thủy,Lương Quỳnh Mai - Lý Thanh Trúc,"Một sân vườn đẹp theo phong thủy là một nơi thanh bình, yên tĩnh và sinh thái trong lành. Có như vậy mới thu hút được tiền và cải thiện sức khỏe. Người Trung Quốc cho rằng vị trí khu vườn, nội thất sân vườn, cây xanh, vật liệu và đồ trang trí sân vườn, nên được thiết kế dựa trên mô hình của âm và dương và dòng chảy của năng lượng, để tạo ra hiệu ứng tích cực.
 "
30,Phong Thủy Cát Tường,https://khosachonline.com/sach/phong-thu-y-cat-tuong,Tử Vi - Phong Thủy,Ths. Vũ Đức Huynh,"Phong thủy là điều mà bất kỳ ai cũng quan tâm với mong muốn mọi thứ trong cuộc sống sẽ may mắn, tốt lành. Phong Thủy tức là Nước và Gió, là học thuyết chuyên nghiên cứu sự ảnh hưởng của Địa lý đến đời sống hoạ phúc của con người. Là sự ảnh hưởng của hướng gió, khí, mạch nước đến mỗi cá nhân. Phong Thuỷ có vai trò rất to lớn trong đời sống con người, vì thế phong thủy ngày càng được ứng dụng rộng rãi trong mọi lĩnh vực của đời sống để tạo ra sự may mắn cát tường, tránh được những tác hại hung họa v.v…
Hy vọng rằng Cuốn ""Phong thủy cát tường"" mang lại cho bạn đọc kiến thức bổ ích về phong thủy, ứng dụng trực tiếp trong chính ngôi nhà thân yêu của bạn."
31,Nghi Lễ Thờ Cúng Truyền Thống Của Người Việt,https://khosachonline.com/sach/nghi-le-tho-cung-truyen-thong-cua-nguoi-viet,Văn Hóa - Nghệ Thuật,Hồ Đức Thọ,"Ở nước ta, tập tục thờ cúng là một việc làm văn hoá đã có từ ngàn xưa tới nay. Tập tục thờ cúng biểu hiện sự mong ước một cuộc sống tốt đẹp, sự tưởng nhớ những bậc tiên liệt có công với nước, với làng, sự nhớ ơn tới đấng Tổ tiên và các bậc sinh thành v.v… Và mỗi tập tục thờ cúng đều có những nghi lễ thiêng liêng riêng.
Cuốn Nghi lễ thờ cúng truyền thống của người Việt tại nhà và chùa, đình đền, miếu phủ, danh sơn cổ tích của tác giả Hồ Đức Thọ đã được tái bản nhiều lần, nhằm giới thiệu các nghi lễ thờ cúng trong sinh hoạt hàng ngày của nhân dân ta, mang tính chất khảo cứu và bảo lưu các giá trị văn hoá truyền thống đã có từ ngàn đời nay.
  "
32,Luận Về Nhân Quả,https://khosachonline.com/sach/luan-ve-nhan-qua,Văn Hóa - Nghệ Thuật,Thích Chân Quang,"Dưới sự phân tích cặn kẽ về nhân quả của Thượng Tọa Thích Chân Quang, Luận về nhân quả giúp chúng ta nhìn nhận mọi vấn đề trong cuộc sống khoa học và hướng mọi người cách chuyển nghiệp giúp cuộc sống an lạc hơn"
33,360 Động Từ Bất Quy Tắc Và 12 Thì Cơ Bản Trong Tiếng Anh,https://khosachonline.com/sach/360-dong-tu-bat-quy-tac-va-12-thi-co-ban-trong-tieng-anh,Học Ngoại Ngữ,Nhiều tác giả,"Cuốn sách này như một người bạn luôn nhắc nhở bạn dùng chính xác các dạng nguyên thể, quá khứ và phân từ của động từ. Mỗi động từ chúng tôi có đưa ra ví dụ để bạn có thể hiểu đươc cách dùng của động từ đó.để nhớ và dùng các động từ bất quy tắc này một cách tốt nhất các bạn lên học thuộc các ví dụ, từ đó các bạn sẽ nhớ được tình huống và vận dụng các động từ này một cách hiệu quả nhất"
34,Từ Điển Pháp – Việt,https://khosachonline.com/sach/tu-dien-phap-viet,Học Ngoại Ngữ,Hồ Hải Thụy - Chu Khắc Thuật,"Nhằm giúp bạn đọc biết nhiều hơn về một dân tộc đã giành được độc lập và tự do qua nhiều cuộc đấu tranh gian khổ cuốn Từ Điển Pháp Việt này đã được cho biên soạn.

Cuốn Từ điển Pháp - Việt này, do hai soạn giả Hồ Hải Thụy và Chu Khắc Thuật với sự cộng tác của một số giáo sư, phó giáo sư, tiến sĩ, phó tiến sĩ, chuyên gia thuộc các Viện nghiên cứu chuyên ngành biên soạn trong nhiều năm. Được biên soạn trên cơ sở những từ điển và tư liệu mới nhất của Việt Nam và Pháp.
Thu thập khối lượng từ lớn - 96.000 mục từ, thuộc nhiều chuyên ngành và phong cách khác nhau, phản ánh được từ vựng của tiếng Pháp hiện đại."
35,Lẽ Được Mất: Cuốn Sách Hóa Giải Những Khổ Đau Của Bạn!,https://khosachonline.com/sach/le-duoc-mat-cuon-sach-hoa-giai-nhung-kho-dau-cua-ban,Tâm Lý - Kỹ Năng Sống,prc,"Cuộc sống - cho đến suy nghĩ cuối cùng và cái nhìn sau chót - là quá trình tự biến đổi.
Chúng ta bắt đầu bằng cách thay đổi thế giới quan: thay vì chỉ nhìn thấy bức tường trước mặt, ta sẽ thấy một phần của quan cảnh. Ta nhận thấy rằng mình có thể hành động khác hơn. Sự trưởng thành cho ta cái nhìn mới, từ một khoảng cách an toàn hơn xưa, cho phép ta hiểu ra nhiều nhân tố, nơi bản thân ta hay nơi người khác, mà trước đây ta chưa thể hiểu. Rồi có đôi khi, ta lấy được đủ nghị lực để tha thứ, để thay đổi nếp đời.
"
36,Nói Nhiều Không Bằng Nói Đúng,https://khosachonline.com/sach/noi-nhieu-khong-bang-noi-dung,Tâm Lý - Kỹ Năng Sống,2.1/2 Bạn Tốt,"Nói Nhiều Không Bằng Nói Đúng cung cấp 36 bí quyết để chiếm được cảm tình của người khác.
Muốn có mối quan hệ xã hội tốt, hãy bắt đầu từ những lời nói làm đẹp lòng mọi người. Trong giao tiếp, hãy luôn nhớ các nguyên tác: Im lặng - Quan sát - Lắng nghe.
Đừng nói quá thẳng thắn, khiến người nghe thấy khó chịu!
Nói chuyện không dễ nghe sẽ khiến mọi người phản cảm và xa cách bạn, đồng thời dẫn đến việc bạn trở thành người có ấn tượng xấu.
Lời nói hay như những giai điệu đẹp, ai cũng muốn nghe.
"
37,Giới Hạn Của Bạn Chỉ Là Xuất Phát Điểm Của Tôi,https://khosachonline.com/sach/gioi-han-cua-ban-chi-la-xuat-phat-diem-cua-toi,Tâm Lý - Kỹ Năng Sống,Mèo Maverick,"Giới hạn là gì?

Giới hạn liệu có phải ranh giới an toàn của mỗi người?

Có lẽ không, giới hạn là để phá bỏ

Bởi giới hạn của bạn chỉ là xuất phát điểm của người khác.

Tôi tin rằng bạn có những ước mơ rất tuyệt vời, tôi cũng tin rằng bạn có thể thực hiện được nó. Nhưng ước mơ mà không hành động thì mãi mãi chỉ nằm trong mộng tưởng, hành trình dài mà không đi thì mãi mãi vẫn chẳng thể chạm đích. Giới hạn đặt ra để bứt phá, chứ không phải điểm tận cùng. Tôi hy vọng mỗi sáng đánh thức bạn dậy không phải là tiếng chuông đồng hồ mà là khát vọng lớn lao trong trái tim bạn.

Mỗi khi bạn cảm thấy những khó khăn hiện tại đã chạm đến giới hạn của mình… Hãy đọc cuốn sách này, nó sẽ giúp bạn biến giới hạn trở thành vạch xuất phát.
"
38,Bác Sĩ Tốt Nhất Là Chính Mình - Tập 3: Những Lời Khuyên Bổ Ích Cho Sức Khỏe,https://khosachonline.com/sach/bac-si-tot-nhat-la-chinh-minh-tap-3-nhung-loi-khuyen-bo-ich-cho-suc-khoe,Y Học - Sức Khỏe,Nhiều tác giả,"Trân trọng sức khỏe!
Tận hưởng sức khỏe!
Sáng tạo sức khỏe!
Nếu bạn còn trẻ, và mong muốn được sống vui vẻ và khỏe mạnh, hãy đọc quyển sách này!
Nếu bạn đã già, và mong muốn sức khỏe sống lâu, hãy đọc quyển sách này!
Nếu bạn nghèo khó, không đủ sức mua thuốc men giá đắt, hãy đọc quyển sách này!
Nếu bạn giàu có, nhưng lại kém sức khỏe và kém vui, hãy đọc quyển sách này!
Chỉ cần 4 giờ ít ỏi đọc kỹ quyển sách này, nó sẽ mang lại 36.000 ngày thu hoạch quí giá cho cả cuộc đời bạn!"
39,Mẹo Lạ Thuốc Hay,https://khosachonline.com/sach/meo-la-thuoc-hay,Y Học - Sức Khỏe,Anh Vũ,Mẹo Lạ Thuốc Hay là tập hợp các bài thuốc dân gian dựa trên các thảo dược có sẵn trong thiên nhiên. Cuốn sách đem đến cho độc giả một lựa chọn khác để chữa các bệnh thường gặp phải trong gia đình
